"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Open the Dulux Visualizer experience","0","0","","0"
"1","","0","Purchase a colour tester","0","0","","0"
