"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"To try a paint colour at home before buying a full tin
As a Dulux customer
I want to add a tester for a chosen shade to my basket","14821","Desktop customer adds a tester from the colour finder","","2026-09-01","passed","2026-09-01","","","",""
"To preview a colour before making a purchase decision
As a Dulux customer
I want to open the Visualizer from a selected shade page","5825","Desktop customer opens the Visualizer for a shade","","2026-09-01","passed","2026-09-01","","","",""
